marka,seri,model,kasa_tipi
Land Rover,Discovery,3.0 SDV6 HSE,SUV
Land Rover,Range Rover Evoque,2.0 Si4 Dynamic,SUV
Fiat,Egea,1.3 Multijet Urban,Hatchback/5
Dacia,Duster,1.2 Tce Prestige,SUV
Renault,Fluence,1.5 dCi Touch Plus,Station wagon
Citroen,C3 Aircross,1.2 PureTech Exclusive,SUV
Hyundai,Genesis,2.0L TCI,Coupe
Maserati,GranSport,4.2,Coupe
Skoda,Fabia,1.4 Ambiente,Station wagon
Porsche,Taycan,4S Performance,Coupe
Seat,Leon,2.0 TFSI Cupra,Hatchback/5
Citroen,C3 Aircross,1.5 BlueHDI Exclusive Business,SUV
Renault,Clio,1.5 dCi Authentique,Station wagon
Renault,Espace,2.2 dCi Privilege,MPV
Land Rover,Range Rover Sport,3.0 TDV6 HSE,SUV
Land Rover,Range Rover,4.4 V8 V8,SUV
Renault,Modus,1.6 Dynamique,MPV
Renault,Latitude,2.0 dCi Executive,Sedan
Mini,Cooper,1.5 Favoured,Coupe
Mini,Cooper,1.5 D Salt,Hatchback/5
Citroen,C5 Aircross,1.5 BlueHDI Selection,SUV
Mazda,3,1.5 SkyActive-G Reflex,Hatchback/5
Mazda,MX,MX-5 1.5,Cabrio
Mini,Cooper,1.6,Coupe
Renault,Clio,1.5 dCi Touch,Station wagon
Hyundai,Tucson,1.6 T-GDi Prime,SUV
Mini,Cooper,1.5 Resolute Edition,Hatchback/3
Mini,Cooper,1.5 D Pepper,Hatchback/3
BMW,1 Serisi,118i Pure,Hatchback/5
Peugeot,308,1.6 HDi Premium,Hatchback/5
Land Rover,Range Rover,3.0 TDV6 Vogue,SUV
Mini,Cooper,1.6 Roadster,-
Fiat,Egea,1.4 Fire Lounge,Hatchback/5
Hyundai,Santa Fe,2.2 CRDi Active,SUV
Renault,Grand Scenic,1.5 dCi Expression,MPV
Mini,Cooper S,2.0 Favoured,Hatchback/3
Jeep,Cherokee,2.4 Sport,SUV
Mitsubishi,Carisma,1.6 Comfort,Sedan
Mitsubishi,Colt,1.5 DI-D Inform,Hatchback/5
Mitsubishi,Colt,1.3 Invite,Hatchback/3
Renault,Scenic,1.6 RTE,MPV
Renault,Twingo,1.2 Pack,Hatchback/3
Renault,Megane,1.5 dCi GT-Line,Station wagon
Fiat,Egea,1.4 Fire Lounge,SUV
Hyundai,i30,1.4 MPi Style,Hatchback/5
Hyundai,i20,1.4 MPI Style,Hatchback/3
Jeep,Renegade,1.3 Turbo Limited,SUV
Hyundai,i30,1.6 CVVT Style Plus,Hatchback/5
Jaguar,XF,2.2 D,Sedan
Jeep,Renegade,1.6 MultiJet Night Eagle,SUV
Renault,Laguna,1.6,Hatchback/5
Renault,Fluence,1.5 dCi Icon,Station wagon
Jaguar,XJ,3.0 D Portfolio,Sedan
Renault,R 12,TSW,Station wagon
Volvo,S80,1.6 D,Sedan
Renault,Megane,1.5 dCi Sport Edition,Hatchback/3
Jaguar,XJ,XJ8 3.5,Sedan
Renault,Laguna,1.8 RXE,Hatchback/5
Volkswagen,Passat,2.0 TDi BlueMotion Business,Sedan
Renault,Megane,1.6 dCi GT-Line Energy,Hatchback/5
Fiat,Palio,1.2 S,Hatchback/3
Mini,One,1.6,Hatchback/3
Toyota,Corona,1.6 XL,Sedan
Kia,Cerato,1.5 CRDi LX,Sedan
Kia,Rio,1.3 Comfort,Sedan
Citroen,C6,2.7 HDi,Sedan
Volvo,V60,1.6 T4 T4,Station wagon
Volkswagen,Bora,1.6 Highline,Sedan
Mercedes - Benz,A,A 180 d Style BlackArt,Sedan
Renault,Scenic,2.0 Privilege,MPV
Nissan,Note,1.5 dCi Platinum,Hatchback/5
Renault,Scenic,1.5 dCi Conquest,MPV
Hyundai,Tucson,1.6 GDi Elite Plus,SUV
Ford,Escort,1.8 CLX,Hatchback/5
Renault,Megane,1.5 dCi Impressor,Coupe
Mazda,Premacy,1.8,MPV
Volkswagen,Amarok,3.0 TDI Canyon,Hard top
Mazda,Lantis,1.8,Sedan
Opel,Astra,1.4 T Edition,Hatchback/5
Nissan,Navara,2.5 TDI 4x2 SE,SUV
Tata,Indigo,1.4 TDI Comfort,Sedan
Kia,Sportage,1.6 GDI Elegance,SUV
Ford,Ka,1.6 Street Trend,Cabrio
Mercedes - Benz,B,B 180 AMG,MPV
Dacia,Sandero Stepway,1.0 Tce Comfort,Hatchback/5
Volkswagen,Golf,1.6 FSi Comfortline,Hatchback/3
Renault,Twingo,1.2 Alize,Hatchback/3
Mercedes - Benz,A,A 200 BlueEFFICIENCY Urban,Hatchback/5
Mini,One,1.6,Coupe
Mitsubishi,Carisma,1.6 GL,Sedan
Smart,ForFour,0.9 Turbo Passion,Hatchback/5
Jeep,Avenger Hybrid,1.2 Limited,SUV
BYD,Dolphin,Standart,Hatchback/5
Subaru,Levorg,1.6 GT-S CVT,Station wagon
Hyundai,i20,1.4 CRDi Select,Hatchback/5
Mercedes - Benz,A,A 200 AMG+,Sedan
Renault,Fluence,1.6 Expression,Sedan
Seat,Toledo,1.4 TDI Style,Sedan
Seat,Leon,1.9 TDI Style,Hatchback/5
Mercedes - Benz,A,A 150 Avantgarde,Hatchback/5
Mercedes - Benz,A,A 200 AMG+,Hatchback/5
Renault,Megane,1.5 dCi Sport Tourer Touch,Station wagon
Renault,Twingo,1.2 Easy,Hatchback/3
Renault,Clio,1.6 Extreme,Hatchback/5
Dacia,Sandero Stepway,1.0 Eco-G Essential,Hatchback/5
Mercedes - Benz,A,A 200 Progressive,Sedan
Seat,Leon,1.0 EcoTSI Ecomotive Style,Station wagon
Mercedes - Benz,B,B 150 150,MPV
Mercedes - Benz,B,B 180 d Urban,Hatchback/5
Mercedes - Benz,B,B 180 BlueEFFICIENCY Prime,MPV
Mercedes - Benz,B,B 180 CDI BlueEFFICIENCY Elite,MPV
Ford,Focus,1.4 Comfort,Sedan
Mercedes - Benz,B,B 180 BlueEFFICIENCY Style,MPV
Opel,Insignia,1.5 d Ultimate,Hatchback/5
Skoda,Citigo,1.0 Elegance,Hatchback/5
Mercedes - Benz,C,C 180 Classic,Sedan
Ford,Focus,1.6 Collection,Sedan
Renault,R 19,1.6,Sedan
Mercedes - Benz,C,C 180 Kompressor Avantgarde,Sedan
Jeep,Renegade,1.3 T Longitude,SUV
Opel,Insignia,1.6 CDTI Edition,Sedan
Saab,9-5,2.0 LPT,Sedan
Renault,R 19,1.6 Europa RNE,Hatchback/5
Geely,Echo,1.3 Basic,Sedan
Renault,R 19,1.4 Europa Prima,Hatchback/3
Skoda,Fabia,1.2 Comfort,Hatchback/5
Mercedes - Benz,C,C 180 BlueEFFICIENCY C-Edition,Sedan
Seat,Ibiza,1.4 TSI Sport Coupe Cupra,Coupe
Opel,Zafira,1.8 Elegance,MPV
Mitsubishi,Colt,1.3 Elegance,Hatchback/5
Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,Station wagon
Seat,Ibiza,1.4 Stella,Hatchback/3
Mercedes - Benz,C,C 180 Kompressor Classic,Sedan
Mercedes - Benz,C,C 200 AMG,Station wagon
Skoda,Octavia,1.2 TSI Elegance,Hatchback/5
Kia,Sportage,1.6 CRDI Cool,SUV
Fiat,Egea Cross,1.3 Multijet Street,SUV
Hyundai,i20 Troy,1.4 CRDi ISG,Hatchback/5
Nissan,Almera,1.5 Comfort,Hatchback/5
Seat,Leon,1.6 TDI Style,Coupe
Seat,Ibiza,1.6 Elegance,Hatchback/5
Fiat,Egea Cross,1.4 Fire Street,Crossover
Mercedes - Benz,C,C 200 BlueTEC Exclusive,Sedan
BMW,X3,20i sDrive Luxury Line,SUV
Volvo,V40,1.6 T4 Premium,Hatchback/5
Ford,Fiesta,1.4 Titanium X,Hatchback/5
Seat,Cordoba,1.4 Basic,Sedan
Seat,Leon,1.4 TSI Copa Plus,Hatchback/5
Ford,Fiesta,1.4 TDCi Comfort,Station wagon
Mercedes - Benz,C,C 200 D AMG,Station wagon
Kia,Rio,1.5 Comfort,Station wagon
Ford,Focus,1.6 Ti-VCT Titanium,Station wagon
Fiat,Egea Cross,1.0 Firefly Urban,SUV
Seat,Cordoba,1.4 TDI Stella,Sedan
Volvo,S80,2.4 D5 Executive,Sedan
Seat,Ibiza,1.4 Signo,Hatchback/3
Skoda,Fabia,1.4 Scout,Station wagon
Skoda,Rapid,1.2 TSI GreenTec Style,Hatchback/5
Dacia,Solenza,1.4 Clima,Sedan
Mercedes - Benz,C,C 200 d BlueTEC Style,Sedan
Seat,Ibiza,1.6 Latino,Hatchback/3
Seat,Ibiza,1.0 MPI,Hatchback/5
Citroen,e-C4 X,1.2 PureTech You,Hatchback/5
Mercedes - Benz,C,C 220 Elegance,Sedan
Mercedes - Benz,C,C 220 CDI Avantgarde,Sedan
Dacia,Jogger,1.0 TCe Extreme,Station wagon
Skoda,SuperB,1.5 TSI Sportline,Sedan
Skoda,SuperB,2.0 TDI Elegance,Sedan
Mercedes - Benz,CLA,180 D Style,Coupe
Mercedes - Benz,CL,600,Coupe
Mini,One,1.4,Hatchback/3
Kia,Sportage,1.6 CRDI Elegance Plus,SUV
Kia,Sportage,1.6 T-GDI Prestige,SUV
Mercedes - Benz,CLA,180 CDI Style,Sedan
Opel,Astra,1.6 CDX,Hatchback/5
Ford,Focus,1.6 SCTi Titanium,Hatchback/5
Mercedes - Benz,A,A 160 160,Hatchback/5
Mercedes - Benz,CLS,350,Coupe
Mercedes - Benz,E,250 CDI AMG,Sedan
Mercedes - Benz,E,200 CGI BlueEFFICIENCY Elegance,-
Skoda,Octavia,1.0 TSI Style,Hatchback/5
Mercedes - Benz,CLA,200 AMG,Sedan
Alfa Romeo,Tonale,1.6 D TI,SUV
Seat,Toledo,1.4 TSI Style,Sedan
Renault,Fluence,1.6 Dynamique,Sedan
Skoda,Favorit,135 LX,Hatchback/5
Renault,Megane,1.6 Business,Hatchback/5
Mercedes - Benz,CLC,160 BlueEFFICIENCY,Coupe
Mercedes - Benz,E,250 CGI AMG,Sedan
Mercedes - Benz,E,290 TD Avantgarde,Sedan
Mercedes - Benz,CLK,CLK 200 Avantgarde,Coupe
Hyundai,i20,1.2 D-CVVT Go,Hatchback/5
Mercedes - Benz,CLK,CLK 240 Avantgarde,Coupe
Skoda,Fabia,1.6 TDI Ambiente,Hatchback/5
Mercedes - Benz,CLS,350 D AMG,Coupe
Toyota,Carina,2.0 GLi,Sedan
Mercedes - Benz,E,180 AMG Premium,Sedan
Fiat,Grande Panda Electric,La Prima,Hatchback/5
Infiniti,Q30,1.5 D,Hatchback/5
Mercedes - Benz,E,350 CDI BlueEFFICIENCY Elegance,Sedan
Peugeot,206,1.4 XR,Hatchback/3
Skoda,Fabia,1.4 Elegance,Hatchback/5
Mercedes - Benz,E,300 AMG,Sedan
Mercedes - Benz,B,B 180 CDI 180 CDI,MPV
Mercedes - Benz,E,320 CDI Avantgarde,Sedan
Skoda,Fabia,1.6 TDI Optimal,Hatchback/5
Mercedes - Benz,E,200 CDI Avantgarde,Sedan
Mercedes - Benz,E,220 CDI Start,Sedan
Mercedes - Benz,E,280 CDI Avantgarde,Sedan
Toyota,Starlet,1.3 XLi,Hatchback/3
Mercedes - Benz,E,300 TD Elegance,Sedan
Mercedes - Benz,E,250 AMG,-
Mercedes - Benz,E,200 CGI Prime,Sedan
Peugeot,206,1.4 HDi X-line,Hatchback/5
Fiat,Egea Cross,1.4 Fire Street Plus,SUV
Tofaş,Doğan,SLX,Hatchback/5
Volkswagen,Taigo,1.5 TSI R Line,SUV
Mercedes - Benz,E,250 CGI AMG,Coupe
Renault,Laguna,2.0 RXE,Sedan
Renault,Laguna,1.6 Dynamique,Hatchback/5
Renault,Laguna,1.6 Authentique,Hatchback/5
Mercedes - Benz,E,250 CGI,Coupe
Mercedes - Benz,E,200 Kompressor Avantgarde,Station wagon
Renault,Clio,1.5 dCi Grandtour Dynamique,Station wagon
Skoda,Fabia,1.2 Classic,Sedan
Mercedes - Benz,E,220 Elegance,Sedan
Opel,Astra,1.6 T Sport,Hatchback/5
Mercedes - Benz,E,180 Avantgarde,Sedan
Mercedes - Benz,E,250 EditionE,Sedan
Mercedes - Benz,E,300 Exclusive,Sedan
Skoda,Octavia,1.9 TDI Classic,Hatchback/5
Mercedes - Benz,E,200 CGI Elegance,Sedan
Volvo,XC60,2.0 D3 Advance,SUV
Skoda,Octavia,1.6 GLX,Hatchback/5
Hyundai,i20,1.2 D-CVVT Sense,Hatchback/3
Volkswagen,Tiguan,2.0 TDI Sport&Style,SUV
Kia,Sportage,1.6 CRDI Hibrit Elegance Konfor,SUV
Mercedes - Benz,E,250 CGI Prime,Sedan
Mercedes - Benz,E,250 Elit,Sedan
Mercedes - Benz,S,S 350 350 L Business,Sedan
Mercedes - Benz,S,S 350 350 L BlueEFFICIENCY,Sedan
Ford,Kuga,1.6 EcoBoost Titanium,SUV
Mercedes - Benz,S,S 350 350 CDI L,Sedan
Mercedes - Benz,S,S 350 350,Sedan
Mercedes - Benz,S,S 350 350 L,Sedan
Mercedes - Benz,S,S 320 320,Sedan
Mercedes - Benz,S,S 320 320 CDI,Sedan
Volkswagen,Golf,1.6 FSi Tour,Hatchback/5
Mercedes - Benz,S,S 350 350 CDI,Sedan
Mercedes - Benz,S,S 450 Sport,Coupe
Skoda,Rapid,1.4 TDI GreenTec Ambition,Sedan
Mercedes - Benz,S,S 400 400 d AMG,Sedan
Volkswagen,Golf,1.9 TDi Goal,Hatchback/5
Mercedes - Benz,SL,300,Roadster
Mitsubishi,Carisma,1.6 Avance,Hatchback/5
Nissan,Almera,1.8 Luxury,Hatchback/5
Kia,XCeed,1.5 T-GDI Elegance Plus,SUV
Mitsubishi,Carisma,1.8 GDI Comfort,Sedan
Suzuki,Splash,1.3 DDiS,Hatchback/5
Kia,Sportage,1.6 T-GDI Hibrit,SUV
Peugeot,308,1.6 VTi Premium,Hatchback/5
Mini,Cooper Clubman,1.5 D One Salt,Station wagon
Kia,Sorento,1.6 T-GDI Prestige Smart,SUV
Smart,ForFour,1.1 Passion,Hatchback/5
Skoda,Rapid,1.4 TDI Ambition,Sedan
Kia,Sportage,1.6 T-GDI Cool,SUV
Dacia,Sandero Stepway,1.0 Tce Expression,SUV
Renault,Modus,1.5 dCi Dynamique,MPV
Mitsubishi,Carisma,1.6 Comfort,Hatchback/5
Renault,Megane,1.5 dCi Sport Tourer Expression,Station wagon
Renault,Megane,1.6 CC Dynamique,Hatchback/5
Renault,Safrane,2.0 RXE,Hatchback/5
Nissan,Note,1.2 Tekna,Hatchback/5
Suzuki,Swift,1.3 MT,Hatchback/5
Renault,Scenic,2.0 RXT,Sedan
Mercedes - Benz,B,B 180 Progressive,MPV
Fiat,500 X,1.4 T PopStar,SUV
Renault,Talisman,1.3 Tce Touch,Sedan
Fiat,500 X,1.6 Multijet Cross,Crossover
Mercedes - Benz,E,250 CGI Elegance,Sedan
Ford,Puma- E,Premium,SUV
Renault,R 11,GTS,Hatchback/5
Renault,R 21,1.6 Optima,Sedan
Ford,Mustang,2.3 Convertible,-
Ford,Mondeo,1.5 TDCi Style,Sedan
Ford,Fiesta,1.0 Trend,Hatchback/5
Toyota,Auris,1.4 D-4D Class,Hatchback/5
Hyundai,i20,1.4 MPI Smart,Hatchback/5
Ford,Kuga,2.0 TDCi Titanium,SUV
BMW,X1,20i sDrive,SUV
Renault,R 19,1.4 Europa RTE,Sedan
Renault,R 19,1.9 Europa RN,Sedan
Saab,9-3,1.9 TiD Vector,Sedan
Seat,Cordoba,1.9 TDI Signo,Sedan
Kia,Sportage,1.6 T-GDI Elegance Konfor Plus,SUV
Fiat,Palio,1.2 Dynamic Speedgear,Hatchback/5
Ssangyong,XLV,1.6 G,SUV
Land Rover,Range Rover Velar,2.0 TD4 R-Dynamic HSE,SUV
Land Rover,Range Rover Velar,2.0 TD4 R-Dynamic SE,SUV
Renault,Megane,1.6 Cabrio Cabrio,-
Land Rover,Defender,90 2.5 TDI,SUV
Peugeot,207,1.4 VTi Trendy,Hatchback/5
Land Rover,Range Rover Sport,2.0 SD4 HSE Plus,SUV
Honda,Civic,1.8 Sport,Hatchback/5
Renault,Fluence,1.5 dCi Bold Edition,Sedan
Volkswagen,Amarok,3.0 TDI Aventura,SUV
Fiat,Egea Cross,1.4 Fire Limited,Sedan
Honda,Civic,2.0 Type-R,Hatchback/3
Skoda,Fabia,1.4 TDI Style,Hatchback/5
Renault,Megane,1.6 Sport Tourer Expression,Station wagon
Skoda,Fabia,1.4 Optimal,Hatchback/5
Toyota,Yaris,1.33 Cool Skypack,Hatchback/5
Opel,Astra,1.4 Life,Hatchback/5
Skoda,Rapid,1.2 TSI Style,Sedan
Skoda,Fabia,1.2 Ambition,Hatchback/5
Skoda,Felicia,1.3 LXi,Hatchback/5
Renault,Clio,1.2 GT Line,Hatchback/5
Peugeot,308,1.6 e-HDi Access,Hatchback/5
Skoda,Forman,Silver Line,Station wagon
Jaguar,XF,2.0 D Prestige Plus,Sedan
Opel,Astra,1.8 Coupe,Coupe
Renault,Megane,1.5 dCi Sport Tourer Extreme,Station wagon
Land Rover,Range Rover Sport,2.0 SD4 HSE,SUV
Toyota,Corolla,1.8 Hybrid Flame,Hatchback/5
Toyota,Corolla,1.4 D-4D Luna,Hatchback/5
Renault,Scenic,1.5 dCi Authentique,MPV
Ford,Ranger,3.0 EcoBlue Wildtrak,Hard top
Honda,Civic,1.4 1.4i,Hatchback/5
Chevrolet,Trax,1.6,SUV
Maserati,Levante,2.0 GT,SUV
Honda,Civic,1.6 i LS,Hatchback/3
Toyota,Corolla,1.4 D-4D Sol,Sedan
Volkswagen,Polo,1.2 TDi BlueMotion,Hatchback/3
Volkswagen,Bora,1.6 Basic,Sedan
Opel,Astra,1.4 Classic,Hatchback/5
Renault,Scenic,1.6 RXE,MPV
Opel,Vectra,1.6 Edition,Sedan
Toyota,Yaris,1.5 Dream X-Pack,Hatchback/5
Mazda,CX-3,1.5 SKY-D Reflex,Crossover
Toyota,Corolla,1.8 Hybrid Dream X-Pack,Hatchback/5
Tesla,Model 3,Long Range,Sedan
Honda,Civic,1.8 Executive,Sedan
Toyota,Corolla,1.8 Hybrid Flame X-Pack,Hatchback/5
Volkswagen,Bora,1.6 Comfortline,Station wagon
Fiat,500 Ailesi,500L 1.3 Mjet Bi-Color,MPV
Toyota,Corolla,1.2 Turbo Dream,Hatchback/5
Mazda,6,2.0 Dynamic,Sedan
Mazda,626,2.0 GLX,Sedan
Volkswagen,Golf,1.4 TSi Trendline,Hatchback/3
Honda,Civic,1.4 Comfort,Hatchback/5
Opel,Astra,1.7 CDTI Essentia,Station wagon
Renault,Scenic,1.9 dCi RXT,MPV
Toyota,Corolla,1.2 Turbo Flame X-Pack,Hatchback/5
Toyota,Yaris,1.5 Hybrid Dream,Hatchback/5
Toyota,Avensis,1.8 Elegant Extra,Sedan
Toyota,Yaris,1.33 Cool,Station wagon
Volvo,C30,1.6,Hatchback/3
Volkswagen,Passat,1.6 FSi Comfortline,Station wagon
Land Rover,Discovery Sport,2.0 TD4 S,SUV
Toyota,Verso,1.6 Comfort,MPV
Land Rover,Defender,90 3.0 D,SUV
Toyota,Yaris,1.3 Sol Special,Hatchback/5
Honda,Civic,1.6 Premium,Hatchback/5
Volkswagen,Bora,1.6,Sedan
Mercedes - Benz,GLA,180 CDI AMG,SUV
Skoda,SuperB,1.9 TDI Comfort,Sedan
Citroen,C4 Cactus,1.2 e-VTI Feel,Crossover
Land Rover,Discovery,2.0 SD4 HSE Luxury,SUV
Opel,Corsa,1.4 Twinport Sport,Hatchback/5
Infiniti,M,M30d,Sedan
Mercedes - Benz,E,220 Classic,Sedan
Volkswagen,Golf,1.4 TSi GT,Hatchback/5
Citroen,C4 Cactus,1.2 e-VTI Shine,SUV
Chery,Omoda 5,1.6 T-GDI Luxury,SUV
Mazda,3,1.5 SkyActive-D Power,Sedan
Infiniti,Q50,2.0,Sedan
Honda,City,1.5 i-VTEC Elegance,Sedan
Tata,Indica,1.4 Basic,Hatchback/5
Toyota,Yaris,1.0 Blue,Hatchback/5
Honda,Civic,1.6i DTEC Executive Plus,Sedan
Alfa Romeo,Tonale,1.5 Hybrid Edizione Speciale,SUV
Volkswagen,EOS,1.6 FSi Highline,-
Maserati,Grecale,2.0,SUV
Citroen,C5 Aircross,1.6 PureTech Shine Bold,SUV
Audi,Q2,1.6 TDI Design,SUV
Volkswagen,Lupo,1.4 Trendline,Hatchback/3
Volkswagen,Jetta,1.6 TDi Comfortline,Hatchback/5
Mazda,BT50,2.5 TD,Hard top
Hyundai,Accent,1.3 GLS,Hatchback/3
Renault,Megane,1.5 dCi Exception,Hatchback/5
Peugeot,306,1.4 XR,Hatchback/5
Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,Station wagon
Hyundai,Excel,1.5 LS,Sedan
Audi,Q5,40 TDI Quattro Sport,SUV
Skoda,Octavia,1.6 TDI Classic,Hatchback/5
Volkswagen,New Beetle,1.2 TSi Style,Hatchback/3
Renault,Megane,1.4 RTA,Sedan
Mercedes - Benz,GLA,180 D AMG,SUV
BMW,iX,First Edition Sport,SUV
Volkswagen,Passat,1.6 FSi Exclusive,Sedan
BMW,iX3,eDrive30,SUV
Mini,Countryman E,E Favoured,SUV
Audi,Q7,2.0 TFSI Quattro,SUV
Audi,Q8,50 TDI,SUV
BMW,X1,18i sDrive Prestige,SUV
Volkswagen,Golf,1.9 TDi,Hatchback/5
Volkswagen,Passat,2.0 TDi Exclusive,Sedan
Mercedes - Benz,GLC Coupe,180 AMG,SUV
Hyundai,Elantra,1.8 GLS,Sedan
Seat,Ibiza,1.2 TSI Sport Coupe FR,Coupe
Mercedes - Benz,A,A 250 BlueEFFICIENCY Sport,Hatchback/5
Opel,Tigra,1.4 TT Sport,-
BMW,X2,1.6d sDrive M Sport X,SUV
Seat,Toledo,1.4 TSI Style,Hatchback/5
BMW,X3,20d xDrive Exclusive,SUV
Opel,Meriva,1.7 CDTI,MPV
Volkswagen,Passat,1.8 T Highline,Station wagon
BMW,X3,20d xDrive M Sport,SUV
Volkswagen,Passat Variant,1.4 TSi Comfortline,Station wagon
Maserati,Grecale,2.0,-
Mercedes - Benz,EQB,250 AMG Plus,SUV
Volkswagen,Passat Variant,1.6 TDi Highline,Station wagon
Volkswagen,Passat,2.0 TDi Elegance,Sedan
Volkswagen,Passat Variant,1.6 TDi BlueMotion Business,Station wagon
Volkswagen,Passat,1.9 TDi Trendline,Sedan
BYD,Seal U,Bilinmiyor,SUV
BYD,Tang,Bilinmiyor,SUV
Cadillac,Escalade,6.0 V8,SUV
Mercedes - Benz,GLB,200 AMG+ 4Matic,SUV
Volkswagen,Golf,1.4 TSi Highline,Hatchback/3
Volkswagen,Passat Variant,1.9 TDi,Station wagon
Hyundai,Getz,1.4 DOHC HY KLM,Hatchback/3
Volkswagen,Passat,2.0 TDi BlueMotion Highline,Station wagon
Volkswagen,Passat,2.0 FSi Comfortline,Station wagon
Volvo,S60,2.0 T Premium,Sedan
Tesla,Model Y,Standart Range,MPV
Opel,Vectra,2.2 GTS,Sedan
Volvo,S40,1.6 D Premium,Sedan
Ford,Ranger,2.2 TDCi XLT,Crossover
Mercedes - Benz,C,C 180 Comfort 9G-Tronic,Sedan
Skoda,Fabia,1.4 Comfort,Station wagon
Skoda,Fabia,1.4 Elegance,Sedan
Skoda,Favorit,1.3 GLX,Hatchback/5
Mercedes - Benz,C,C 200 BlueTEC Fascination,Sedan
Tesla,Model Y,Performance,Sedan
Hyundai,Accent Era,1.5 CRDi Prime,Sedan
Audi,Q2,1.6 TDI Sport,SUV
Volkswagen,Golf,1.6 FSi Comfortline Plus,Hatchback/5
Peugeot,206+,1.4 HDi Sportium,Hatchback/5
Volkswagen,Golf,1.9 TDi,-
Toyota,Avensis,1.6 Premium,Sedan
Volkswagen,Scirocco,1.4 TSi Sportline,Hatchback/5
Volta,EV1,Bilinmiyor,Coupe
Volvo,V40,1.6 T3 Advance,Hatchback/5
Nissan,Qashqai,1.6 Tekna,SUV
Citroen,C3 Aircross,1.2 PureTech Feel Business,SUV
Volkswagen,Up Club,E-Up,Hatchback/5
Mazda,CX-3,1.5 Reflex,SUV
Volkswagen,Passat,1.6 TDi Highline,Sedan
Volvo,C30,1.6 D Advance,Hatchback/3
Peugeot,106,Quicksilver,Hatchback/3
Nissan,Qashqai,1.6 Visia,SUV
Mazda,CX-3,1.5 SKY-D Power,SUV
Volkswagen,Touran,1.6 FSi Highline,MPV
Fiat,Egea,1.6 Multijet Lounge,SUV
Hyundai,i20 Troy,1.4 CRDi Mode,Hatchback/3
Mercedes - Benz,300,TD,Sedan
Volvo,C70,2.5,Cabrio
Volvo,S40,2.0 D,Sedan
Ford,Kuga,1.6 EcoBoost Selective,SUV
Honda,HR-V,1.5 i-VTEC Elegance,SUV
Mini,Cooper,1.6,-
MG,ZS,1.5 VTI Comfort,SUV
Volkswagen,Touran,1.6 TDi Trendline,MPV
Volkswagen,VW CC,2.0 TDi Exclusive,Coupe
Volkswagen,VW CC,1.8 TSi,Coupe
Mitsubishi,Carisma,1.6 GL,Hatchback/5
Volkswagen,New Beetle,1.6 Smile,Hatchback/3
Mini,Cooper Countryman,1.6,SUV
Volvo,S60,1.6 D,Sedan
BMW,iX,70M,SUV
Peugeot,307,1.4 Comfort,Hatchback/5
Mitsubishi,L 200,4x4 Blizzard,Hard top
BMW,X1,18i sDrive Ultimate X-Line,SUV
BMW,X1,16i sDrive M Sport,SUV
Citroen,C4 SUV,1.5 BlueHDI Shine Bold,SUV
Citroen,C5 Aircross,1.2 Hybrid E-Series,SUV
Hyundai,i30,1.6 GDi Elite,Hatchback/3
Volvo,C30,1.6 D Premium,Hatchback/3
Hyundai,i30,1.6 CRDi CW Style,Station wagon
Volkswagen,Passat,1.5 TSi R Line,Sedan
Volkswagen,New Beetle,1.6 Highline,Hatchback/3
Hyundai,Santa Fe,2.0 CRDi VGT,SUV
Mitsubishi,L 200,4x4 Invite,Hard top
Cupra,Formentor,2.0 TSI,SUV
Mitsubishi,L 200,4x4 Storm,Hard top
Renault,Clio,1.4 RT,Hatchback/3
Hyundai,Tucson,1.6 GDi Style Plus,SUV
Volvo,S80,2.4 D5 Premium,Sedan
BMW,X1,18i sDrive Sport Line,SUV
Volvo,S80,2.0 D Advance,Sedan
Ford,Fiesta,1.25 Flair,Hatchback/3
Seat,Ibiza,1.6 Stella,Hatchback/5
Dacia,Duster,1.6 Ambiance,SUV
Skoda,Rapid,1.0 TSI GreenTec Ambition,Hatchback/5
Citroen,C5 Aircross,1.5 BlueHDI Feel,SUV
Saab,9-3,2.0 SE,Hatchback/5
Volkswagen,Tiguan,1.4 TSI White Night,SUV
Nissan,Qashqai,1.3 DIG-T Sky Pack,-
Citroen,C5 Aircross,1.5 BlueHDI Exclusive,SUV
Hyundai,i30,1.6 CRDi Elite Plus Smart,Hatchback/5
Opel,Corsa,1.4 Swing,Hatchback/5
Audi,A3,A3 Sedan 35 TFSI S-Line,SUV
Volvo,V70,2.0 D3,Station wagon
Volvo,S90,2.0 D5 Plus Dark,Sedan
Nissan,Qashqai,1.5 e-Power N-Design,SUV
Mitsubishi,Outlander,2.0 Instyle,SUV
Mitsubishi,L 200,4x4 Intense,Hard top
Nissan,X-Trail,1.3 DIG-T Design Pack,SUV
Volkswagen,Passat,1.8 T Basic,Sedan
Ford,Escort,1.8 Ghia,Hatchback/5
Volkswagen,Passat Variant,1.9 TDi Comfortline,Station wagon
Volkswagen,Passat,1.8 T Basic,Cabrio
Opel,Corsa,1.0 Eco Club,Hatchback/5
Opel,Astra,1.4 GL,Sedan
Peugeot,307,1.6 HDi Designtech,Hatchback/5
Opel,Astra,1.6 GLS,Sedan
Nissan,X-Trail,1.5 e-4ORCE Platinum Premium,SUV
