marka,seri,model,kasa_tipi
Opel,Astra,1.3 CDTI Enjoy,Hatchback/5
Opel,Astra,1.6 CDTI Sport,Sedan
Renault,Clio,1.5 dCi Alize,Sedan
Renault,Fluence,1.5 dCi Business,Sedan
Renault,Grand Scenic,1.5 dCi Privilege,MPV
Renault,Scenic,1.6 Privilege,MPV
Skoda,Octavia,1.6 TDI Style,Hatchback/5
Volkswagen,Golf,1.4 TSi Comfortline,Hatchback/5
Volkswagen,Passat,1.6 TDi BlueMotion Highline,Sedan
Audi,A7,45 TFSI,Hatchback/5
Hyundai,Accent,1.3 LX,Sedan
Audi,A7,3.0 TDI,Coupe
Citroen,e-C4,Shine Bold,Bilinmiyor
Honda,Jazz,1.4 ES,Hatchback/5
Renault,Clio,1.0 TCe Equilibre,Hatchback/5
Renault,Fluence,1.5 dCi Touch Plus,Sedan
Renault,Megane,1.5 dCi Dynamique,Hatchback/5
Renault,R 9,1.4 Broadway RN,Sedan
Renault,R 19,1.4 Beymen Club,Hatchback/5
Suzuki,Swift,1.5 AT,Hatchback/5
Tesla,Model Y,Standart Range,SUV
Volkswagen,Passat,1.5 TSi R Line,Station wagon
Volvo,S60,1.6 D Premium,Sedan
Audi,A6,A6 Sedan 40 TDI Quattro Advanced,Sedan
Chevrolet,Aveo,1.4 SE,Sedan
Opel,Astra,1.6 CDTI Design,Sedan
BMW,3 Serisi,320d Comfort,Sedan
Fiat,Egea,1.3 Multijet Easy Plus,Sedan
Fiat,Egea,1.6 E-Torq Lounge,Sedan
Fiat,Egea,1.6 Multijet Comfort,Sedan
Honda,Civic,1.6i VTEC ES,Sedan
Kia,Ceed,1.6 CRDi Elegance,Hatchback/5
Opel,Astra,1.3 CDTI Essentia Konfor,Hatchback/5
Renault,Clio,1.0 TCe Techno Esprit Alpine,Hatchback/5
Renault,Laguna,2.0 Privilege,Hatchback/5
Renault,Megane,1.3 TCe Joy Comfort,Sedan
Renault,Megane,1.3 TCe Touch,Sedan
Renault,R 9,1.4 Broadway,Sedan
Renault,R 19,1.6 Europa RTE,Sedan
Volkswagen,Passat Variant,2.0 TDi Exclusive,Station wagon
Audi,A4,A4 Sedan 40 TDI S Line,Sedan
Chevrolet,Cruze,1.6 LT Plus,Sedan
BMW,5 Serisi,520d Executive Plus,Sedan
Citroen,e-C4,Shine Bold,Hatchback/5
BMW,1 Serisi,118i M Sport,Hatchback/5
Fiat,Tipo,1.4 ie,Hatchback/5
Honda,Civic,1.6i VTEC Premium,Sedan
Opel,Insignia,1.6 T Edition Elegance,Sedan
Volkswagen,Polo,1.2 TSi Comfortline,Hatchback/5
Smart,ForFour,1.5 CDI Passion,Hatchback/5
Toyota,Corolla,1.4 D-4D Comfort,Sedan
Citroen,C-Elysée,1.2 VTi Confort,Sedan
Fiat,Egea,1.4 Fire Lounge,Sedan
Fiat,Linea,1.3 Multijet Easy,Sedan
Ford,Focus,1.6 TDCi Style,Sedan
Ford,Mondeo,1.6 TDCi Style,Sedan
Hyundai,Accent,1.5 GLS,Sedan
Hyundai,i20,1.4 MPI Elite Smart,Hatchback/5
Renault,Clio,1.0 TCe Icon,Hatchback/5
Skoda,Fabia,1.4 Special,Hatchback/5
Volkswagen,Golf,1.5 eTSI Life,Hatchback/5
BMW,5 Serisi,520i 50th Year M Edition,Sedan
BMW,5 Serisi,520d M Sport,Sedan
BMW,5 Serisi,520d xDrive Executive M Sport,Sedan
Citroen,C5,1.6 HDi SX PK,Sedan
BMW,5 Serisi,520i Executive,Sedan
Citroen,C3,1.6 HDi SX,Hatchback/5
Fiat,Stilo,1.6 Dynamic,Hatchback/5
Opel,Astra,1.3 CDTI Sport,Sedan
Opel,Corsa,1.2 T Ultimate,Hatchback/5
Renault,Megane,1.2 TCe Touch,Hatchback/5
BMW,5 Serisi,520i Premium,Sedan
BMW,3 Serisi,320d xDrive M Sport,Sedan
BMW,M Serisi,M3,Sedan
Fiat,Egea,1.4 Fire Easy Stil,Sedan
Kia,Cerato,1.5 CRDi EX,Hatchback/5
Opel,Corsa,1.3 CDTI Essentia,Hatchback/5
Opel,Insignia,1.6 CDTI Cosmo,Sedan
Renault,Clio,1.5 BlueDCI Joy,Hatchback/5
Renault,Clio,1.5 dCi Grandtour Authentique,Station wagon
Seat,Leon,1.6 TDI CR Style,Hatchback/5
Skoda,Octavia,1.0 e-Tec Elite,Hatchback/5
Toyota,Verso,1.6 Elegant,MPV
Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,Sedan
Citroen,C3,1.2 VTi Cool,Hatchback/5
Seat,Ibiza,1.4 Reference,Hatchback/5
Citroen,C3,1.4 HDi Attraction,Hatchback/5
Ford,Mondeo,1.5 Titanium,Sedan
Hyundai,i20,1.4 CRDi Jump,Hatchback/5
Lexus,ES,300h Business Plus,Sedan
BMW,5 Serisi,520i Special Edition M Sport,Sedan
Hyundai,Accent Era,1.4 Team,Sedan
Audi,A5,A5 Sportback 1.4 TFSI Design,Hatchback/5
Citroen,e-C4,Max,Hatchback/5
BMW,5 Serisi,520i Executive M Sport,Sedan
Volkswagen,Jetta,1.2 TSi BlueMotion Comfortline,Sedan
Hyundai,Elantra,1.6 MPI Style Comfort,Sedan
Mercedes - Benz,C,C 200 BlueTEC AMG,Sedan
Fiat,Linea,1.4 Fire Actual Plus,Sedan
Kia,Ceed,1.6 CRDi Concept,Hatchback/5
BMW,5 Serisi,525d xDrive Executive,Sedan
Kia,Picanto,1.25 MPI Comfort,Hatchback/5
Toyota,Auris,1.4 D-4D Advance Skypack,Hatchback/5
Renault,Clio,1.5 dCi Night & Day,Hatchback/5
BMW,3 Serisi,320i ED Standart,Sedan
BMW,3 Serisi,320i ED Sport Line,Sedan
Ford,Focus,1.6 TDCi Trend,Sedan
Opel,Astra,1.4 T Design,Sedan
Opel,Astra,1.6 CDTI Cosmo,Hatchback/5
Opel,Meriva,1.6 Enjoy,MPV
Renault,Clio,1.5 dCi SportTourer Icon,Station wagon
Renault,R 19,1.6 Europa RNE,Sedan
Skoda,Scala,1.6 TDI Premium,Hatchback/5
Fiat,Bravo,1.6 Mjet Dynamic Plus,Hatchback/5
Fiat,Egea,1.4 Fire Mirror,Hatchback/5
Audi,A3,A3 Sportback 1.6 TDI Ambition,Hatchback/5
BMW,2 Serisi,216d Gran Coupe First Edition Sport Line,Coupe
BMW,4 Serisi,428i Gran Coupe Gran Coupe,Coupe
Opel,Corsa,1.2 T GS,Hatchback/5
Renault,Clio,1.3 TCe Touch,Hatchback/5
Toyota,Auris,1.6 Advance Skypack,Hatchback/5
BMW,5 Serisi,520d Comfort,Sedan
Audi,A7,40 TDI,Hatchback/5
Chevrolet,Aveo,1.3 D LT,Sedan
Citroen,C-Elysée,1.2 VTi Attraction,Sedan
Citroen,C4,1.6 e-HDi Exclusive,Hatchback/5
Citroen,C4,1.6 HDi SX PK,Hatchback/5
Hyundai,i20,1.2 MPI Style,Hatchback/5
Mitsubishi,Lancer,1.8 Intense,Sedan
Seat,Leon,1.6 TDI Style,Hatchback/5
Fiat,Egea,1.4 Fire Urban,SUV
Ford,Fiesta,1.5 TDCi Trend,Hatchback/5
Hyundai,Accent Blue,1.6 CRDI Mode Plus,Sedan
Hyundai,i10,1.1 Select,Hatchback/5
Kia,Rio,1.4 CRDi Comfort,Hatchback/5
Seat,Leon,1.4 TSI FR,Hatchback/5
Tofaş,Doğan,SL,Sedan
Volvo,S60,1.5 T3 Advance,Sedan
Chevrolet,Cruze,1.6 LT,Sedan
BMW,3 Serisi,320d M Sport,Sedan
BMW,3 Serisi,320i First Edition Sport Line,Sedan
Honda,Civic,1.6i VTEC LS,Sedan
Honda,Civic,1.5 i-VTEC Eco Elegance,Sedan
Hyundai,Getz,1.5 VGT HY KLM,Hatchback/5
Renault,Clio,0.9 TCe Sport Tourer Joy,Hatchback/5
Renault,R 19,1.6 Europa iE,Sedan
Toyota,Yaris,1.5 Fun Special,Hatchback/5
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,Station wagon
Volkswagen,Polo,1.4 TDi Trendline,Hatchback/5
Citroen,C5,1.6 HDi SX,Sedan
BMW,5 Serisi,520d Standart,Sedan
Fiat,Palio,1.4 EL,Hatchback/5
Honda,Jazz,1.4 Fun,Hatchback/5
Hyundai,Accent,1.5 CRDi Admire,Sedan
Opel,Corsa,1.4 Twinport Active,Hatchback/5
Porsche,Panamera,Diesel,Hatchback/5
Renault,R 9,1.6 Fairway,Sedan
Volkswagen,Golf,1.6 TDi BlueMotion Highline,Hatchback/5
Citroen,C-Elysée,1.6 BlueHDI Feel,Sedan
Fiat,Brava,1.6 SX,Hatchback/5
Chevrolet,Cruze,1.6 LS Plus,Sedan
Fiat,Egea,1.3 Multijet Easy Plus,Hatchback/5
Hyundai,Getz,1.5 CRDi Classic,Hatchback/5
Toyota,Auris,1.33 Comfort,Hatchback/5
Volkswagen,Polo,1.2 TSi Lounge,Hatchback/5
Audi,A5,A5 Sportback 1.4 TFSI Sport,Hatchback/5
Citroen,C3,1.2 PureTech Elle,Hatchback/5
Opel,Corsa,1.4 Essentia,Hatchback/5
BMW,5 Serisi,520i Executive Plus,Sedan
Hyundai,i20,1.0 T-GDI Style,Hatchback/5
BMW,5 Serisi,520i Executive Luxury Line,Sedan
Hyundai,i30,1.4 CVVT Team,Hatchback/5
Toyota,Corolla,1.6 Touch,Sedan
Chevrolet,Aveo,1.3 D LT,Hatchback/5
Volkswagen,Scirocco,1.4 TSi Sportline,Coupe
BMW,5 Serisi,520i Prestige,Sedan
Renault,Clio,1.2 SportTourer Joy,Station wagon
BMW,5 Serisi,520i Standart,Sedan
Toyota,Yaris,1.5 Dream,Hatchback/5
Skoda,Octavia,1.6 TDI Style CR,Hatchback/5
BMW,3 Serisi,320d Premium,Sedan
Ford,Focus,1.6 TDCi Trend,Hatchback/3
BMW,5 Serisi,525d xDrive Premium,Station wagon
Fiat,Tipo,1.6 SLX,Hatchback/5
Ford,Focus,1.5 EcoBlue Titanium,Sedan
Audi,Q2,35 TFSI Advanced,SUV
BMW,3 Serisi,318i Prestige,Sedan
Opel,Vectra,1.8 GL,Sedan
Peugeot,e-208,GT,Hatchback/5
Renault,Clio,0.9 TCe Joy,Hatchback/5
Toyota,Corolla,1.6 Advance,Sedan
Mercedes - Benz,C,C 200 D Exclusive,Sedan
Opel,Mokka,1.4 Cosmo,SUV
BMW,5 Serisi,520d xDrive Special Edition M Sport,Sedan
Fiat,Punto,EVO 1.3 Multijet Dynamic,Hatchback/5
Mercedes - Benz,CLA,200 AMG+ 4Matic,Coupe
Ford,Fiesta,1.0 Titanium,Hatchback/5
Mercedes - Benz,E,180 Elite,Sedan
Ford,Focus,1.6 Titanium,Hatchback/5
Toyota,Corolla,1.33 Life,Sedan
Hyundai,i20,1.4 CVVT Elite,Hatchback/5
Opel,Corsa,1.2 Twinport Essentia,Hatchback/5
Hyundai,Elantra,1.6 D-CVVT Style,Sedan
Citroen,C4,1.6 HDi Attraction,Hatchback/5
BMW,5 Serisi,520i Edition M Sport,Sedan
Audi,A3,A3 Sedan 1.6 TDI Attraction,Sedan
Toyota,Corolla,1.6 Active,Sedan
